EmployeeID,Age,Department,SatisfactionScore,LastEvaluationScore,NumProjects,AvgMonthlyHours,YearsAtCompany,Attrition
896999,41,finance,0.42,0.08,5,200,6,1
331148,41,hr,0.91,0.73,5,180,7,1
559437,36,operations,0.93,0.82,7,200,4,1
883201,41,finance,0.03,0.53,7,297,6,1
562242,41,finance,0.66,0.72,3,186,5,0
538510,41,sales,0.85,0.76,4,200,6,1
585585,36,unknown,0.65,0.39,5,200,5,0
689574,41,hr,0.89,0.8,5,227,6,1
394433,58,hr,0.33,0.92,3,205,7,0
314638,41,it,0.57,0.42,5,227,6,1
9767,41,hr,0.62,0.26,5,200,1,1
747950,41,finance,0.71,0.09,5,268,7,0
102408,41,finance,0.27,0.12,5,200,6,0
726713,41,unknown,0.31,0.0,5,200,8,1
40517,43,unknown,0.13,0.68,5,200,8,0
420135,41,unknown,0.65,0.21,2,193,8,1
913501,41,sales,0.28,0.8,2,210,1,1
783720,41,operations,0.44,0.88,5,200,6,0
268678,41,unknown,0.09,0.56,6,200,6,1
556615,41,sales,0.13,0.02,5,200,7,0
574096,41,hr,0.09,0.75,5,292,4,0
873303,48,hr,0.95,0.7,5,260,2,0
19284,23,finance,0.03,0.2,5,276,6,0
323130,34,unknown,0.42,0.99,5,209,5,0
189340,41,unknown,0.67,0.29,7,246,2,0
776669,41,hr,0.82,0.96,5,164,6,0
634699,41,hr,0.01,0.08,3,249,4,0
110188,41,unknown,0.06,0.98,3,157,6,0
196980,41,finance,0.17,0.6,5,200,6,1
35597,41,finance,0.76,0.05,5,200,6,0
23450,41,operations,0.2,0.29,5,200,7,1
606051,31,unknown,0.12,0.0,5,200,5,0
101643,33,finance,0.29,0.08,5,240,6,0
922195,57,operations,0.2,0.53,5,200,6,0
857149,44,finance,0.21,0.14,5,209,6,0
827733,27,hr,0.38,0.75,4,200,6,0
857918,41,finance,0.72,0.83,7,200,7,0
68193,41,hr,0.94,0.73,5,222,6,0
94198,39,finance,0.01,0.69,2,254,6,1
281086,41,hr,0.42,0.96,5,200,3,0
900479,41,finance,0.52,0.01,5,200,3,0
64668,59,finance,0.69,0.46,5,200,6,0
890963,56,hr,0.94,0.83,7,250,6,0
857824,32,sales,0.57,0.7,4,207,2,0
801056,41,hr,0.58,0.6,5,200,6,1
34823,22,it,0.54,0.19,5,182,9,0
940540,41,it,0.95,0.79,5,263,6,0
134943,47,sales,0.93,0.71,7,232,1,1
630515,44,operations,0.03,0.93,5,168,8,0
473524,38,finance,0.63,0.08,5,263,8,0
200578,41,finance,0.4,0.05,5,229,6,1
324698,45,operations,0.62,0.83,5,216,2,0
80838,41,sales,0.08,0.2,7,200,6,0
173143,41,sales,0.73,0.98,4,200,6,0
267470,52,hr,0.73,0.44,3,228,6,1
96424,41,unknown,0.7,0.37,6,200,6,1
221166,27,sales,0.93,0.81,5,174,6,0
706377,41,unknown,0.04,0.31,5,200,6,1
190405,41,unknown,0.8,0.19,5,210,6,0
922478,24,finance,0.68,0.92,6,200,3,0
495168,41,finance,0.68,0.99,7,254,10,0
406309,43,finance,0.14,0.1,5,200,8,0
812648,41,hr,0.43,0.03,5,200,10,0
153208,41,it,0.73,0.02,4,239,6,0
446103,41,hr,0.43,0.65,5,151,6,1
550867,41,unknown,0.88,0.78,6,176,2,0
424551,30,unknown,0.33,0.06,5,285,6,0
99847,22,operations,0.12,0.34,5,200,6,1
106832,23,hr,0.24,0.16,5,223,7,0
610790,38,unknown,0.59,0.93,5,150,4,0
542315,52,hr,0.11,0.75,3,297,2,0
927896,41,finance,0.49,0.08,7,200,6,0
743032,41,hr,0.33,0.23,5,200,6,0
924264,28,finance,0.57,0.86,5,249,6,0
182440,26,it,0.3,0.05,3,246,6,1
638606,41,operations,0.19,0.3,5,200,6,0
165940,57,hr,0.87,0.86,5,200,10,1
867440,24,finance,0.43,0.81,5,200,9,1
114547,38,finance,0.42,0.74,5,213,1,1
989487,28,unknown,0.47,0.34,2,200,6,0
5366,32,hr,0.3,0.28,5,230,1,1
985645,48,hr,0.31,0.33,5,200,6,0
419058,48,hr,0.49,0.84,5,252,6,0
918985,56,hr,0.3,0.13,5,228,1,1
366930,41,finance,0.0,0.23,6,244,6,0
685830,41,finance,0.46,0.78,5,200,6,0
282190,41,it,0.72,0.51,7,200,6,1
235923,41,operations,0.49,0.15,5,200,6,0
360122,54,operations,0.71,0.3,7,200,5,1
618715,41,finance,0.75,0.92,2,200,6,0
412707,57,operations,0.85,0.07,5,233,4,0
800157,41,hr,0.94,0.66,3,244,3,1
158503,41,unknown,0.55,0.43,5,200,6,0
682526,41,it,0.86,0.81,5,212,5,0
16355,51,finance,0.09,0.73,5,200,4,0
118864,41,finance,0.94,0.46,5,157,8,0
210745,41,operations,0.99,0.7,5,200,6,0
424254,41,sales,0.6,0.41,5,200,2,0
496066,34,finance,0.66,0.46,5,200,6,0
511845,41,sales,0.47,0.59,5,200,8,0
59992,47,finance,0.17,0.1,6,200,6,1
513509,59,it,0.2,0.51,5,200,8,0
925464,38,unknown,0.87,0.77,5,296,6,1
646424,41,finance,0.64,0.76,5,296,3,1
112897,41,operations,0.6,0.74,5,200,4,0
227841,41,operations,0.22,0.78,5,200,2,1
18530,41,unknown,0.95,0.3,5,255,3,0
952290,41,sales,0.18,0.3,5,200,8,0
472390,57,finance,0.44,0.51,6,274,7,0
626751,41,unknown,0.52,0.81,3,152,4,1
30611,41,finance,0.98,0.43,2,200,2,0
450856,41,finance,0.71,0.57,5,215,6,0
917050,38,it,0.04,0.02,5,150,1,0
521598,41,finance,0.71,0.51,5,200,1,0
470417,50,unknown,0.55,0.44,4,233,9,0
468680,43,sales,0.61,0.51,3,298,6,0
496193,53,it,0.47,0.99,2,246,2,1
149881,35,unknown,0.71,0.13,5,219,9,1
