Employee_ID,Age,Department,Satisfaction_Level,Last_Evaluation,Projects,Average_Monthly_Hours,Years_at_Company,Left
896999,,Finance,0.42,0.08,,999,,1.0
331148,,Hr,0.91,0.73,,180,7.0,1.0
559437,36.0,Operations,0.93,0.82,7.0,999,4.0,1.0
883201,41.0,Finance,0.03,0.53,7.0,297,,1.0
562242,,Finance,0.66,0.72,3.0,186,5.0,
538510,,Sales,0.85,0.76,4.0,999,,1.0
585585,36.0,,0.65,0.39,,999,5.0,
689574,,Hr,0.89,0.8,,227,,1.0
394433,58.0,Hr,0.33,0.92,3.0,205,7.0,
314638,,IT,0.57,0.42,,227,,1.0
9767,,Hr,0.62,0.26,,999,1.0,1.0
747950,,Finance,0.71,0.09,,268,7.0,
102408,,finanCe,0.27,0.12,,999,,
726713,,,0.31,0.0,5.0,999,8.0,1.0
40517,43.0,,0.13,0.68,,999,8.0,
420135,,,0.65,0.21,2.0,193,8.0,1.0
913501,,Sales,0.28,0.8,2.0,210,1.0,1.0
783720,,Operations,0.44,0.88,5.0,999,,0.0
268678,,,0.09,0.56,6.0,999,,1.0
556615,,Sales,0.13,0.02,,999,7.0,
574096,,Hr,0.09,0.75,,292,4.0,
873303,48.0,Hr,0.95,0.7,,260,2.0,
19284,23.0,finanCe,0.03,0.2,,276,,0.0
323130,34.0,,0.42,0.99,,209,5.0,
189340,,,0.67,0.29,7.0,246,2.0,
776669,,Hr,0.82,0.96,,164,,0.0
634699,,Hr,0.01,0.08,3.0,249,4.0,0.0
110188,,,0.06,0.98,3.0,157,,0.0
196980,,finanCe,0.17,0.6,5.0,999,,1.0
35597,,Finance,0.76,0.05,5.0,999,,
23450,,Operations,0.2,0.29,,999,7.0,1.0
606051,31.0,,0.12,0.0,,999,5.0,
101643,33.0,Finance,0.29,0.08,,240,,0.0
922195,57.0,Operations,0.2,0.53,,999,,
857149,44.0,finanCe,0.21,0.14,,209,6.0,
827733,27.0,Hr,0.38,0.75,4.0,999,,0.0
857918,,Finance,0.72,0.83,7.0,999,7.0,0.0
68193,,Hr,0.94,0.73,,222,,0.0
94198,39.0,finanCe,0.01,0.69,2.0,254,,1.0
281086,,Hr,0.42,0.96,,999,3.0,0.0
900479,,finanCe,0.52,0.01,,999,3.0,0.0
64668,59.0,finanCe,0.69,0.46,,999,,
890963,56.0,Hr,0.94,0.83,7.0,250,,0.0
857824,32.0,Sales,0.57,0.7,4.0,207,2.0,
801056,,HR,0.58,0.6,,999,,1.0
34823,22.0,IT,0.54,0.19,,182,9.0,
940540,,IT,0.95,0.79,,263,,
134943,47.0,Sales,0.93,0.71,7.0,232,1.0,1.0
630515,44.0,Operations,0.03,0.93,,168,8.0,0.0
473524,38.0,Finance,0.63,0.08,,263,8.0,0.0
200578,,finanCe,0.4,0.05,,229,,1.0
324698,45.0,Operations,0.62,0.83,,216,2.0,
