EmployeeID,Age,Department,SatisfactionScore,LastEvaluationScore,NumProjects,AvgMonthlyHours,YearsAtCompany,Attrition,HoursPerProject,PerformanceRatio,TenureCategory,High_Risk_Employee
896999,41,finance,0.41,0.67,2,135,13,0,67.5,0.62,Experienced,0
331148,41,hr,0.74,0.8,7,235,16,1,33.57,0.94,Experienced,0
559437,36,operations,0.74,0.57,6,197,10,0,32.83,1.29,Mid,0
883201,41,finance,0.97,0.88,5,156,13,0,31.2,1.11,Experienced,0
562242,41,finance,0.36,0.65,8,218,17,1,27.25,0.55,Mid,1
538510,41,sales,0.49,0.91,7,225,12,1,32.14,0.54,Experienced,0
585585,36,unknown,0.84,0.65,6,179,10,0,29.83,1.3,Mid,0
689574,41,hr,0.66,0.83,6,174,15,0,29,0.79,Experienced,0
394433,58,hr,0.79,0.57,8,249,30,1,31.12,1.38,Experienced,0
314638,41,it,0.33,0.64,6,214,18,1,35.67,0.51,Experienced,1
9767,41,hr,0.72,0.8,3,152,17,0,50.67,0.91,New,0
747950,41,finance,0.25,0.46,4,146,13,1,36.5,0.54,Experienced,0
102408,41,finance,0.66,0.58,5,174,17,1,34.8,1.13,Experienced,0
726713,41,unknown,0.94,0.61,8,213,17,0,26.62,1.54,Experienced,0
40517,43,unknown,0.42,0.87,6,149,14,0,24.83,0.48,Experienced,0
420135,41,unknown,0.48,0.88,5,183,15,1,36.6,0.55,Experienced,0
913501,41,sales,0.44,0.67,8,240,16,1,30,0.65,New,0
783720,41,operations,0.18,0.77,7,203,12,1,29,0.24,Experienced,1
268678,41,unknown,0.65,0.61,5,209,12,0,41.8,1.07,Experienced,0
556615,41,sales,1,0.65,5,168,17,0,33.6,1.54,Experienced,0
574096,41,hr,0.99,0.97,5,187,14,0,37.4,1.02,Mid,0
873303,48,hr,0.3,0.63,7,227,22,1,32.43,0.48,New,1
19284,23,finance,0.82,0.94,5,182,0,0,36.4,0.87,Experienced,0
323130,34,unknown,1,0.58,7,180,5,0,25.71,1.73,Mid,0
189340,41,unknown,1,0.77,7,202,16,0,28.86,1.3,New,0
776669,41,hr,0.86,0.58,4,151,14,0,37.75,1.5,Experienced,0
634699,41,hr,0.66,0.79,4,198,14,0,49.5,0.83,Mid,0
110188,41,unknown,0.86,0.86,4,128,18,0,32,1,Experienced,0
196980,41,finance,0.99,0.67,3,124,12,0,41.33,1.47,Experienced,0
35597,41,finance,0.99,0.74,6,154,16,0,25.67,1.33,Experienced,0
23450,41,operations,0.95,0.7,3,139,15,0,46.33,1.36,Experienced,0
606051,31,unknown,1,0.65,6,204,9,0,34,1.54,Mid,0
101643,33,finance,0.74,0.65,8,242,8,1,30.25,1.13,Experienced,0
922195,57,operations,0.6,0.15,5,155,34,0,31,4.07,Experienced,0
857149,44,finance,0.46,0.79,5,178,17,0,35.6,0.59,Experienced,0
827733,27,hr,0.57,0.96,5,127,1,0,25.4,0.6,Experienced,0
857918,41,finance,0.37,0.63,7,211,16,1,30.14,0.59,Experienced,1
68193,41,hr,0.95,0.73,5,175,19,0,35,1.31,Experienced,0
94198,39,finance,0.7,0.73,6,180,17,0,30,0.96,Experienced,0
281086,41,hr,0.22,0.9,8,226,17,1,28.25,0.24,Mid,1
900479,41,finance,0.49,0.57,7,225,17,1,32.14,0.87,Mid,0
64668,59,finance,0.25,0.88,7,231,31,1,33,0.28,Experienced,1
890963,56,hr,0.6,0.57,3,124,33,0,41.33,1.06,Experienced,0
857824,32,sales,0.82,0.51,7,193,3,0,27.57,1.61,New,0
801056,41,hr,0.39,1,8,233,16,1,29.12,0.39,Experienced,1
34823,22,it,0.41,0.53,8,211,0,0,26.38,0.78,Experienced,0
940540,41,it,1,0.9,4,176,12,0,44,1.11,Experienced,0
134943,47,sales,0.6,0.51,5,185,19,0,37,1.17,New,0
630515,44,operations,0.71,1,4,141,17,0,35.25,0.72,Experienced,0
473524,38,finance,0.16,0.94,5,174,11,0,34.8,0.17,Experienced,0
200578,41,finance,0.64,0.8,8,238,13,1,29.75,0.79,Experienced,0
324698,45,operations,0.71,0.95,5,173,18,0,34.6,0.75,New,0
80838,41,sales,0.96,0.77,6,150,17,0,25,1.25,Experienced,0
173143,41,sales,0.38,0.74,6,176,16,0,29.33,0.52,Experienced,0
267470,52,hr,0.72,1,8,226,24,0,28.25,0.73,Experienced,0
96424,41,unknown,0.32,0.74,3,146,16,0,48.67,0.44,Experienced,0
221166,27,sales,0.63,0.79,6,213,0,0,35.5,0.79,Experienced,0
706377,41,unknown,0.59,0.72,6,239,19,1,39.83,0.82,Experienced,0
190405,41,unknown,0.97,0.9,7,155,17,0,22.14,1.08,Experienced,0
922478,24,finance,0.52,0.52,3,127,0,0,42.33,1.01,Mid,0
495168,41,finance,0.68,0.77,3,153,17,0,51,0.89,Experienced,0
406309,43,finance,0.46,0.86,4,158,15,0,39.5,0.54,Experienced,0
812648,41,hr,0.61,0.89,3,141,15,0,47,0.68,Experienced,0
153208,41,it,1,0.83,6,154,19,0,25.67,1.21,Experienced,0
446103,41,hr,0.63,0.66,4,158,13,0,39.5,0.96,Experienced,0
550867,41,unknown,1,0.82,3,124,18,0,41.33,1.22,New,0
424551,30,unknown,0.54,0.66,5,171,5,0,34.2,0.81,Experienced,0
99847,22,operations,0.73,0.83,4,120,0,0,30,0.88,Experienced,0
106832,23,hr,1,0.72,4,179,0,0,44.75,1.38,Experienced,0
610790,38,unknown,0.38,0.81,6,186,11,0,31,0.47,Mid,0
542315,52,hr,0.41,0.58,7,175,29,1,25,0.71,New,0
927896,41,finance,0.49,0.65,3,179,18,0,59.67,0.76,Experienced,0
743032,41,hr,0.64,0.85,3,133,19,0,44.33,0.76,Experienced,0
924264,28,finance,0.88,0.6,6,187,5,0,31.17,1.47,Experienced,0
182440,26,it,0.95,0.76,7,212,0,0,30.29,1.25,Experienced,0
638606,41,operations,0.75,0.93,6,184,18,0,30.67,0.8,Experienced,0
165940,57,hr,0.76,0.82,4,168,32,0,42,0.92,Experienced,0
867440,24,finance,0.21,0.52,5,172,0,1,34.4,0.4,Experienced,0
114547,38,finance,0.05,0.61,8,215,10,1,26.88,0.08,New,1
989487,28,unknown,0.95,0.9,4,156,3,0,39,1.06,Experienced,0
5366,32,hr,0.28,0.53,8,221,4,1,27.62,0.52,New,1
985645,48,hr,0.47,0.6,8,241,23,1,30.12,0.78,Experienced,0
419058,48,hr,0.38,0.19,6,181,22,0,30.17,1.95,Experienced,0
918985,56,hr,0.93,0.5,6,206,27,0,34.33,1.87,New,0
366930,41,finance,0.89,0.84,4,173,13,0,43.25,1.07,Experienced,0
685830,41,finance,0.63,0.64,5,148,17,0,29.6,0.99,Experienced,0
282190,41,it,1,0.91,6,156,14,0,26,1.1,Experienced,0
235923,41,operations,0.79,0.61,5,178,19,0,35.6,1.29,Experienced,0
360122,54,operations,0.44,0.78,4,156,29,0,39,0.56,Mid,0
618715,41,finance,0.53,0.71,3,143,18,0,47.67,0.75,Experienced,0
412707,57,operations,0.53,0.91,6,182,28,0,30.33,0.58,Mid,0
800157,41,hr,0.85,0.86,5,158,16,0,31.6,0.99,Mid,0
158503,41,unknown,0.65,0.56,6,200,18,0,33.33,1.16,Experienced,0
682526,41,it,0.59,0.75,6,201,14,0,33.5,0.79,Mid,0
16355,51,finance,0.6,0.76,6,210,24,0,35,0.79,Mid,0
118864,41,finance,0.65,0.61,6,184,14,0,30.67,1.06,Experienced,0
210745,41,operations,0.62,0.69,6,205,18,0,34.17,0.89,Experienced,0
424254,41,sales,0.69,0.91,7,207,16,1,29.57,0.76,New,0
496066,34,finance,0.71,0.92,3,125,7,0,41.67,0.78,Experienced,0
511845,41,sales,0.18,0.66,8,245,15,1,30.62,0.28,Experienced,1
59992,47,finance,0.59,0.89,4,181,19,0,45.25,0.67,Experienced,0
513509,59,it,0.81,0.9,4,181,36,0,45.25,0.9,Experienced,0
925464,38,unknown,0.74,0.9,7,220,15,1,31.43,0.82,Experienced,0
646424,41,finance,0.87,0.66,6,193,16,0,32.17,1.32,Mid,0
112897,41,operations,0.64,0.89,8,215,18,1,26.88,0.72,Mid,0
227841,41,operations,0.34,0.87,8,226,18,1,28.25,0.38,New,1
18530,41,unknown,0.8,0.73,5,170,14,0,34,1.1,Mid,0
952290,41,sales,0.72,0.71,2,120,16,0,60,1.01,Experienced,0
472390,57,finance,0.74,0.89,7,227,30,1,32.43,0.83,Experienced,0
626751,41,unknown,0.98,0.85,8,235,13,0,29.38,1.15,Mid,0
30611,41,finance,0.26,0.8,8,191,12,1,23.88,0.33,New,0
450856,41,finance,0.25,0.62,7,208,13,1,29.71,0.41,Experienced,1
917050,38,it,0.61,0.73,7,197,9,0,28.14,0.85,New,0
521598,41,finance,0.59,0.57,5,195,14,0,39,1.03,New,0
470417,50,unknown,0.79,0.56,4,157,22,0,39.25,1.42,Experienced,0
468680,43,sales,0.16,0.78,7,206,18,1,29.43,0.2,Experienced,1
496193,53,it,0.76,0.55,6,179,31,0,29.83,1.37,New,0
149881,35,unknown,0.82,1,6,191,8,0,31.83,0.82,Experienced,0
247966,41,finance,0.51,0.88,5,174,12,0,34.8,0.58,Experienced,0
514915,41,it,0.49,0.4,4,169,15,0,42.25,1.23,Experienced,0
162920,41,hr,0.91,0.61,5,156,12,0,31.2,1.49,Experienced,0
69843,32,it,0.55,0.53,8,187,6,0,23.38,1.04,Experienced,0
636543,28,finance,0.67,0.74,8,217,5,0,27.12,0.91,Experienced,0
670458,41,operations,1,0.92,4,164,13,0,41,1.08,Experienced,0
643487,52,finance,0.39,0.59,4,159,26,0,39.75,0.65,New,0
674458,41,unknown,0.89,1,4,141,12,0,35.25,0.89,Experienced,0
869738,41,hr,0.67,0.65,6,155,18,1,25.83,1.03,Experienced,0
